sample_id,select_sample,dye_conc_in_cuvette_per_add_umol_per_l,salinity,spec_temp,sw_434,sw_578,sw_730,dye_sw_434,dye_sw_578,dye_sw_730,dye_x2_sw_434,dye_x2_sw_578,dye_x2_sw_730,delta_730_dye1_dye_2,delta_730_sw_dye_1,delta_730_sw_dye_2
head dfet 1,x,5.357,30.4,25,0.0000,-0.0200,0.0500,0.5900,0.2600,0.0400,1.1500,0.5500,0.0400,0.00000,0.0100,0.0100
head dfet 2,x,5.357,30.4,25,-0.0100,-0.0300,0.0400,0.6000,0.2500,0.0400,1.0900,0.5200,0.0400,0.00000,0.0000,0.0000
head dfet 3,x,5.357,30.4,25,0.0100,-0.0200,0.0500,0.4700,0.5100,0.0400,0.9400,1.0600,0.0400,0.00000,0.0100,0.0100
head dfet 4,x,5.357,30.4,25,0.0000,-0.0300,0.0400,0.5200,0.5600,0.0500,0.9800,1.1000,0.0500,0.00000,-0.0100,-0.0100
B1,x,5.357,30.4,25,0.0000,-0.0200,0.0400,0.5200,0.5100,0.0400,1.0000,1.0400,0.0400,0.00000,0.0000,0.0000
B2,x,5.357,30.4,25,0.0000,-0.0300,0.0300,0.5400,0.5400,0.0300,0.9800,1.0600,0.0300,0.00000,0.0000,0.0000
B3,x,5.357,30.4,25,0.0300,0.0000,0.0600,0.6300,0.2800,0.0600,1.1500,0.5700,0.0600,0.00000,0.0000,0.0000
B4,x,5.357,30.4,25,0.0300,0.0000,0.0500,0.6300,0.2700,0.0600,1.1100,0.5400,0.0600,0.00000,-0.0100,-0.0100
B5,x,5.357,30.4,25,0.0100,-0.0200,0.0300,0.5800,0.2500,0.0400,1.0600,0.5100,0.0400,0.00000,-0.0100,-0.0100
B6,x,5.357,30.4,25,0.0200,-0.0200,0.0400,0.6100,0.2600,0.0500,1.1100,0.5500,0.0400,0.01000,-0.0100,0.0000
B7,x,5.357,30.4,25,0.0000,-0.0300,0.0300,0.5500,0.5100,0.0400,1.0500,1.0500,0.0400,0.00000,-0.0100,-0.0100
B8,x,5.357,30.4,25,0.0000,-0.0300,0.0300,0.5400,0.5200,0.0400,1.0500,1.0600,0.0400,0.00000,-0.0100,-0.0100
B9,x,5.357,30.4,25,0.05,0.02,0.08,0.59,0.6,0.08,1.07,1.16,0.08,0.00000,0.0000,0.0000
B10,x,5.357,30.4,25,0.05,0.02,0.07,0.58,0.56,0.07,1.05,1.09,0.07,0.00000,0.0000,0.0000
B11,x,5.357,30.4,25,0.05,0.02,0.08,0.63,0.29,0.08,1.11,0.55,0.08,0.00000,0.0000,0.0000
B12,,5.357,30.4,25,0.05,0.03,0.09,0.66,0.31,0.1,1.13,0.59,0.11,-0.01000,-0.0100,-0.0200
B13,x,5.357,30.4,25,0.04,0.01,0.07,0.63,0.31,0.08,1.17,0.59,0.08,0.00000,-0.0100,-0.0100
B14,x,5.357,30.4,25,0.03,0.01,0.07,0.64,0.29,0.08,1.14,0.56,0.08,0.00000,-0.0100,-0.0100
B15,x,5.357,30.4,25,0.06,0.04,0.1,0.55,0.56,0.1,1.04,1.13,0.1,0.00000,0.0000,0.0000
B16,x,5.357,30.4,25,0.06,0.04,0.1,0.59,0.59,0.11,1.08,1.11,0.11,0.00000,-0.0100,-0.0100
